DRXFDCD,DRXFCLD
27320210.0,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"
27320310.0,Pork chow mein or chop suey with noodles
27320320.0,"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce"
27320330.0,"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce"
27320340.0,"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"
27320350.0,"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
27320410.0,"Ham, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"
27320450.0,"Ham, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"
27320500.0,Sweet and sour pork with rice
27330050.0,"Lamb or mutton, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
27330060.0,"Lamb or mutton, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"
27330080.0,"Lamb or mutton, rice, and vegetables  including carrots, broccoli, and/or dark-green leafy; gravy"
27330170.0,Stuffed grape leaves with lamb and rice
27330210.0,"Stew, lamb"
27335500.0,"Stewed rabbit, Puerto Rican style,"
27336200.0,"Venison or deer, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
27336250.0,"Venison or deer, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
27336300.0,"Venison or deer, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"
27336310.0,"Venison or deer, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
27341000.0,"Chicken or turkey, potatoes, corn, and cheese, with gravy"
27341010.0,"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"
27341020.0,"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"
27341025.0,"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
27341030.0,"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
27341035.0,"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce"
27341040.0,"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce"
27341045.0,"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce"
27341050.0,"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce"
27341055.0,"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"
27341060.0,"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
27341330.0,"Stew, chicken, with pasta"
27341520.0,"Stew, chicken"
27343010.0,"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"
27343020.0,"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"
27343410.0,"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
27343420.0,"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
27343470.0,"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce"
27343480.0,"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce"
27343510.0,"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"
27343520.0,"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
27343910.0,Chicken or turkey chow mein or chop suey with noodles
27343950.0,"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce"
27343960.0,"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce"
27345010.0,"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"
27345020.0,"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"
27345210.0,"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
27345220.0,"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
27345230.0,"Chicken or turkey, rice, corn, and cheese, with gravy"
27345310.0,"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce"
27345320.0,"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce"
27345410.0,"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce"
27345420.0,"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce"
27345440.0,"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce"
27345450.0,"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce"
27345510.0,"Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"
27345520.0,"Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
27347100.0,"Pot pie, chicken"
27347200.0,"Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"
27347210.0,"Chicken or turkey,stuffing, and vegetables excluding carrots, broccoli, and dark green leafy; no sauce"
27347220.0,"Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
27347230.0,"Chicken or turkey, stuffing, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
27347240.0,"Chicken or turkey, dumplings, and vegetables including carrots, broccoli, and/or dark green leafy; gravy"
27347250.0,"Chicken or turkey, dumplings, and vegetables excluding carrots, broccoli, and dark green leafy; gravy"
27348100.0,"Chicken fricassee, Puerto Rican style"
27350020.0,Paella with seafood
27350050.0,Shrimp chow mein or chop suey with noodles
27350060.0,"Shrimp creole, with rice"
27350080.0,"Tuna noodle casserole with vegetables, cream or white sauce"
27350090.0,"Fish, noodles, and vegetables including carrots, broccoli, and/or dark green leafy; cheese sauce"
27350100.0,"Fish, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce"
27350110.0,"Soup, bouillabaisse"
27350410.0,Tuna noodle casserole with vegetables and mushroom sauce
27351010.0,"Codfish with starchy vegetables, Puerto Rican style"
27351040.0,"Biscayne codfish, Puerto Rican style"
27360000.0,"Stew, NFS"
27360080.0,"Chow mein or chop suey, NS as to type of meat, with noodles"
27360090.0,"Paella, NFS"
27360120.0,"Chow mein or chop suey, various types of meat, with noodles"
27362000.0,"Stewed tripe, with potatoes, Puerto Rican style"
27363000.0,Gumbo with rice
27363100.0,Jambalaya with meat and rice
27410210.0,"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce"
27410220.0,"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce"
27410250.0,"Beef shish kabob with vegetables, excluding potatoes"
27411100.0,"Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce"
27411120.0,Swiss steak
27411150.0,"Beef rolls, stuffed with vegetables or meat mixture, tomato-based sauce"
27411200.0,"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce"
27414100.0,"Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, mushroom sauce"
27414200.0,"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce"
27415100.0,"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce"
27415110.0,Beef and broccoli
27415120.0,"Beef, tofu, and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce"
27415130.0,Szechuan beef
27415140.0,Hunan beef
27415150.0,"Beef chow mein or chop suey, no noodles"
27415170.0,Kung Pao beef
27415200.0,"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce"
27415220.0,"Beef, tofu, and vegetables excluding carrots, broccoli,  and dark-green leafy; no potatoes, soy-based sauce"
27416100.0,"Beef and vegetables, Hawaiian style"
27416150.0,Pepper steak
27416200.0,"Beef, ground, with egg and onion"
27416250.0,Beef salad
27416300.0,"Beef taco filling: beef, cheese, tomato, taco sauce"
27416400.0,Stir fried beef and vegetables in soy sauce
27416450.0,"Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy"
27416500.0,"Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy"
27418410.0,"Beef steak with onions, Puerto Rican style"
27420010.0,Cabbage with ham hocks
27420020.0,Ham or pork salad
27420040.0,Frankfurters or hot dogs and sauerkraut
27420060.0,"Pork and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce"
27420080.0,Greens with ham or pork
27420100.0,"Pork, tofu, and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-base sauce"
27420110.0,"Pork and vegetables, Hawaiian style"
27420120.0,Pork and watercress with soy-based sauce
27420150.0,Kung Pao pork
27420160.0,"Moo Shu pork, without Chinese pancake"
27420170.0,Pork and onions with soy-based sauce
27420200.0,Pork hash
27420250.0,"Ham and vegetables including carrots broccoli, and/or dark- green leafy; no potatoes, no sauce"
27420270.0,"Ham and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce"
27420350.0,"Pork and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce"
27420370.0,"Pork, tofu, and vegetables, excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce"
27420390.0,"Pork chow mein or chop suey, no noodles"
27420400.0,"Pork and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce"
27420410.0,"Pork and vegetables excluding  carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce"
27420450.0,"Sausage and vegetables including  carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce"
27420460.0,"Sausage and vegetables, excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce"
27420470.0,"Sausage and peppers, no sauce"
27420500.0,"Pork and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce"
27420510.0,"Pork and vegetables excluding carrots, broccoli, and dark- green leafy; no potatoes, soy-based sauce"
27420520.0,"Pork shish kabob with vegetables, excluding potatoes"
27430610.0,"Lamb shish kabob with vegetables, excluding potatoes"
27440110.0,"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce"
27440120.0,"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce"
27440130.0,"Chicken or turkey shish kabob with vegetables, excluding potatoes"
27441120.0,"Chicken or turkey creole, without rice"
27442110.0,"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy"
27442120.0,"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy"
27443110.0,"Chicken or turkey a la king with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cream, white, or soup-based sauce"
27443120.0,"Chicken or turkey a la king with vegetables excluding carrorts, broccoli, and dark-green leafy; no potatoes, cream, white, or soup-based sauce"
27443150.0,Chicken or turkey divan
27445110.0,"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce"
27445120.0,"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce"
27445125.0,"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce"
27445130.0,"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce"
27445150.0,General Tso chicken
27445180.0,Moo Goo Gai Pan
27445220.0,Kung pao chicken
27445250.0,Almond chicken
27446100.0,"Chicken or turkey chow mein or chop suey, no noodles"
27446200.0,"Chicken or turkey salad, made with mayonnaise"
27446205.0,Chicken or turkey salad with nuts and/or fruits
27446220.0,Chicken or turkey salad with egg
27446225.0,"Chicken or turkey salad, made with light mayonnaise"
27446230.0,"Chicken or turkey salad, made with mayonnaise-type salad dressing"
27446235.0,"Chicken or turkey salad, made with light mayonnaise-type salad dressing"
27446240.0,"Chicken or turkey salad, made with creamy dressing"
27446245.0,"Chicken or turkey salad, made with light creamy dressing"
27446250.0,"Chicken or turkey salad, made with Italian dressing"
27446255.0,"Chicken or turkey salad, made with light Italian dressing"
27446260.0,"Chicken or turkey salad, made with any type of fat free dressing"
27446300.0,"Chicken or turkey garden salad, chicken and/or turkey, tomato and/or carrots, other vegetables, no dressing"
27446310.0,"Chicken or turkey garden salad, chicken and/or turkey, other vegetables excluding tomato and carrots, no dressing"
27446315.0,"Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing"
27446320.0,"Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing"
27446330.0,"Chicken or turkey garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing"
27446332.0,"Chicken or turkey, breaded, fried, garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing"
27446350.0,"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing"
27446355.0,"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing"
27446360.0,"Chicken or turkey caesar garden salad, chicken and/or turkey, lettuce, tomato, cheese, no dressing"
27446362.0,"Chicken or turkey, breaded, fried, caesar garden salad, chicken and/or turkey, lettuce, tomatoes, cheese, no dressing"
27446400.0,"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cheese sauce"
27446410.0,"Chicken or turkey and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, cheese sauce"
27448020.0,"Chicken or turkey fricassee, with sauce, no potatoes, potatoes reported separately, Puerto Rican style"
27448030.0,"Chicken or turkey fricassee, no sauce, no potatoes, Puerto Rican style"
27450010.0,Crab salad
27450020.0,Lobster salad
27450030.0,Salmon salad
27450040.0,"Shrimp chow mein or chop suey, no noodles"
27450060.0,"Tuna salad, made with mayonnaise"
27450061.0,"Tuna salad, made with light mayonnaise"
27450062.0,"Tuna salad, made with mayonnaise-type salad dressing"
27450063.0,"Tuna salad, made with light mayonnaise-type salad dressing"
27450064.0,"Tuna salad, made with creamy dressing"
27450065.0,"Tuna salad, made with light creamy dressing"
27450066.0,"Tuna salad, made with Italian dressing"
27450067.0,"Tuna salad, made with light Italian dressing"
27450068.0,"Tuna salad, made with any type of fat free dressing"
27450070.0,Shrimp salad
27450080.0,Seafood salad
27450090.0,Tuna salad with cheese
27450100.0,Tuna salad with egg
27450110.0,"Shrimp garden salad, shrimp, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing"
27450120.0,"Shrimp garden salad, shrimp, lettuce, eggs, vegetables excluding tomato and carrots, no dressing"
27450130.0,Crab salad made with imitation crab
27450150.0,"Fish, tofu, and vegetables, tempura"
27450180.0,"Seafood garden salad with seafood, lettuce, vegetables excluding tomato and carrots, no dressing"
27450190.0,"Seafood garden salad with seafood, lettuce, tomato and/or carrots, other vegetables, no dressing"
27450200.0,"Seafood garden salad with seafood, lettuce, eggs, vegetables excluding tomato and carrots, no dressing"
27450210.0,"Seafood garden salad with seafood, lettuce, eggs, tomato and/or carrots, other vegetables, no dressing"
27450250.0,Oysters Rockefeller
27450310.0,Lomi salmon
27450400.0,"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce"
27450405.0,"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce"
27450410.0,"Shrimp and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce"
27450420.0,"Shrimp and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce"
27450430.0,"Shrimp shish kabob with vegetables, excluding potatoes"
27450450.0,"Shrimp creole, no rice"
27450470.0,Kung Pao shrimp
27450510.0,"Tuna casserole with vegetables and mushroom sauce, no noodles"
27450600.0,"Shellfish mixture and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce"
27450610.0,"Shellfish mixture and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce"
27450650.0,"Shellfish mixture and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, mushroom sauce"
27450660.0,"Shellfish mixture and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce"
27450700.0,"Fish and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce"
27450710.0,"Fish and vegetables excluding carrots, broccoli, and dark- green leafy; no potatoes, tomato-based sauce"
27450740.0,"Fish and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce"
27450750.0,"Fish and vegetables excluding  carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce"
27450760.0,"Fish shish kabob with vegetables, excluding potatoes"
27451010.0,"Fried fish with sauce, Puerto Rican style"
27451030.0,"Lobster with sauce, Puerto Rican style"
27451060.0,"Octopus salad, Puerto Rican style"
27451070.0,"Codfish salad, Puerto Rican style, Serenata"
27460010.0,"Chow mein or chop suey, NS as to type of meat, no noodles"
27460100.0,Lau lau
27460510.0,"Antipasto with ham, fish, cheese, vegetables"
27460710.0,"Livers, chicken, chopped, with eggs and onion"
27460750.0,"Liver, beef or calves, and onions"
27462000.0,"Stewed chitterlings, Puerto Rican style"
27463000.0,"Stewed gizzards, Puerto Rican style"
27464000.0,"Gumbo, no rice"
27500050.0,"Sandwich, NFS"
27500300.0,"Sandwich wrap, NFS"
27500400.0,"Barbecue sandwich, NFS"
27510100.0,"Sloppy joe sandwich, on white bun"
27510105.0,"Sloppy joe sandwich, on wheat bun"
27510130.0,"Barbecue beef sandwich, on white bun"
27510135.0,"Barbecue beef sandwich, on wheat bun"
27510140.0,"Cheeseburger slider, from fast food"
27510155.0,"Cheeseburger, NFS"
27510160.0,"Cheeseburger, from fast food, 1 small patty"
27510170.0,Cheeseburger (Burger King)
27510171.0,Whopper Jr with cheese (Burger King)
27510172.0,Cheeseburger (McDonalds)
27510190.0,"Cheeseburger, from school cafeteria"
27510191.0,Cheeseburger slider
27510195.0,"Cheeseburger, on white bun, 1 small patty"
27510196.0,"Cheeseburger, on wheat bun, 1 small patty"
27510215.0,"Cheeseburger, from fast food, 1 medium patty"
27510229.0,Quarter Pounder (McDonalds)
27510231.0,Whopper with cheese (Burger King)
27510232.0,Quarter Pounder with cheese (McDonalds)
27510241.0,"Cheeseburger, on white bun, 1 medium patty"
27510242.0,"Cheeseburger, on wheat bun, 1 medium patty"
27510245.0,"Cheeseburger, on white bun, 1 large patty"
27510246.0,"Cheeseburger, on wheat bun, 1 large patty"
27510254.0,"Double cheeseburger, on white bun, 2 small patties"
27510255.0,"Double cheeseburger, on wheat bun, 2 small patties"
27510257.0,"Double cheeseburger, on white bun, 2 medium patties"
27510258.0,"Double cheeseburger, on wheat bun, 2 medium patties"
27510261.0,"Cheeseburger, from fast food, 1 large patty"
27510262.0,"Double cheeseburger, on white bun, 2 large patties"
27510263.0,"Double cheeseburger, on wheat bun, 2 large patties"
27510371.0,"Double cheeseburger, from fast food, 2 small patties"
27510386.0,Double cheeseburger (Burger King)
27510387.0,Double cheeseburger (McDonalds)
27510388.0,McDouble (McDonalds)
27510389.0,Big Mac (McDonalds)
27510401.0,"Double cheeseburger, from fast food, 2 medium patties"
27510405.0,"Double cheeseburger, from fast food, 2 large patties"
27510501.0,"Hamburger slider, from fast food"
27510521.0,"Hamburger, NFS"
27510531.0,"Hamburger, from fast food, 1 small patty"
27510551.0,Hamburger (Burger King)
27510552.0,Whopper Jr (Burger King)
27510553.0,Hamburger (McDonalds)
27510565.0,"Hamburger, from school cafeteria"
27510573.0,Hamburger slider
27510575.0,"Hamburger, on white bun, 1 small patty"
27510576.0,"Hamburger, on wheat bun, 1 small patty"
27510601.0,"Hamburger, from fast food, 1 medium patty"
27510605.0,"Hamburger, from fast food, 1 large patty"
27510615.0,Whopper (Burger King)
27510631.0,"Hamburger, on white bun, 1 medium patty"
27510632.0,"Hamburger, on wheat bun, 1 medium patty"
27510635.0,"Hamburger, on white bun, 1 large patty"
27510636.0,"Hamburger, on wheat bun, 1 large patty"
27510649.0,"Double hamburger, on white bun, 2 small patties"
27510652.0,"Double hamburger, on wheat bun, 2 small patties"
27510655.0,"Double hamburger, on white bun, 2 medium patties"
27510657.0,"Double hamburger, on wheat bun, 2 medium patties"
27510658.0,"Double hamburger, on white bun, 2 large patties"
27510659.0,"Double hamburger, on wheat bun, 2 large patties"
27510661.0,"Double hamburger, from fast food, 2 small patties"
27510671.0,"Double hamburger, from fast food, 2 medium patties"
27510675.0,"Double hamburger, from fast food, 2 large patties"
27510700.0,Meatball sandwich or sub
27510702.0,Meatloaf sandwich
27510705.0,"Chiliburger, with or without cheese, on bun"
27510910.0,Corned beef sandwich on white
27510920.0,"Corned beef sandwich on white, with cheese"
27510930.0,Corned beef sandwich on wheat
27510940.0,"Corned beef sandwich on wheat, with cheese"
27510950.0,Reuben sandwich
27513010.0,Roast beef sandwich on white
27513050.0,"Roast beef sandwich on white, with cheese"
27513055.0,Roast beef sandwich on wheat
27513065.0,"Roast beef sandwich on wheat, with cheese"
27513070.0,French dip sandwich
27514010.0,Steak sandwich or sub on white
27514020.0,Steak sandwich or sub on wheat
27514030.0,Cheese steak sandwich or sub on white
27514040.0,Cheese steak sandwich or sub on wheat
27516010.0,Gyro sandwich
27517000.0,"Hamburger wrap sandwich, from fast food"
27520210.0,Ham sandwich on white
27520220.0,"Ham sandwich on white, with cheese"
27520230.0,Ham sandwich on wheat
27520240.0,"Ham sandwich on wheat, with cheese"
27520255.0,"Ham sandwich or sub, restaurant"
27520260.0,"Ham sandwich or sub, with cheese, restaurant"
27520270.0,Ham sandwich wrap
27520340.0,Ham salad sandwich on white
27520345.0,Ham salad sandwich on wheat
27520410.0,Cuban sandwich
27520500.0,Barbecue rib sandwich
27520510.0,"Barbecue pork sandwich, on white bun"
27520515.0,"Barbecue pork sandwich, on wheat bun"
27520520.0,Pork sandwich
27520525.0,"Pork sandwich, with cheese"
27520610.0,"Bacon, lettuce, tomato sandwich on white"
27520620.0,"Bacon, lettuce, tomato sandwich on wheat"
27540010.0,Turkey sandwich on white
27540020.0,"Turkey sandwich on white, with cheese"
27540030.0,Turkey sandwich on wheat
27540040.0,"Turkey sandwich on wheat, with cheese"
27540050.0,"Turkey sandwich or sub, restaurant"
27540060.0,"Turkey sandwich or sub, with cheese, restaurant"
27540070.0,Turkey sandwich wrap
27540080.0,"Chicken deli sandwich or sub, restaurant"
27540090.0,"Chicken deli sandwich or sub, with cheese, restaurant"
27540120.0,Chicken salad sandwich on white
27540121.0,Chicken salad sandwich on wheat
27540122.0,Chicken salad sandwich wrap
27540123.0,Club sandwich on white
27540124.0,"Club sandwich on white, with cheese"
27540125.0,Club sandwich on wheat
27540126.0,"Club sandwich on wheat, with cheese"
27540127.0,"Club sandwich or sub, restaurant"
27540130.0,"Barbecue chicken sandwich, on white bun"
27540131.0,"Barbecue chicken sandwich, on wheat bun"
27540132.0,"Chicken fillet sandwich, NFS"
27540139.0,"Chicken fillet sandwich, from school cafeteria"
27540145.0,"Chicken fillet biscuit, from fast food"
27540146.0,"Chicken fillet sandwich, fried, from fast food"
27540147.0,"Chicken fillet sandwich, fried, from fast food, with cheese"
27540152.0,"Chicken fillet sandwich, grilled, from fast food"
27540153.0,"Chicken fillet sandwich, grilled, from fast food, with cheese"
27540160.0,"Chicken fillet sandwich, NS as to fried or grilled, from fast food"
27540175.0,"Chicken fillet sandwich, fried, on white bun"
27540176.0,"Chicken fillet sandwich, fried, on white bun; with cheese"
27540185.0,"Chicken fillet sandwich, fried, on wheat bun"
27540186.0,"Chicken fillet sandwich, fried, on wheat bun, with cheese"
27540195.0,"Chicken fillet sandwich, grilled, on white bun"
27540196.0,"Chicken fillet sandwich, grilled, on white bun, with cheese"
27540205.0,"Chicken fillet sandwich, grilled, on wheat bun"
27540206.0,"Chicken fillet sandwich, grilled, on wheat bun, with cheese"
27540210.0,"Chicken fillet wrap sandwich, fried, from fast food"
27540300.0,"Chicken fillet wrap sandwich, grilled, from fast food"
27545100.0,"Turkey or chicken burger, on white bun"
27545110.0,"Turkey or chicken burger, on wheat bun"
27550000.0,"Fish sandwich, fried, from fast food"
27550100.0,"Fish sandwich, fried, from fast food, with cheese"
27550110.0,Crab cake sandwich
27550120.0,Salmon cake sandwich
27550150.0,Fried seafood sandwich
27550200.0,"Fish sandwich, from school cafeteria"
27550300.0,"Fish sandwich, NFS"
27550400.0,"Fish sandwich, fried, on white bun"
27550405.0,"Fish sandwich, fried, on white bun, with cheese"
27550410.0,"Fish sandwich, fried, on wheat bun"
27550415.0,"Fish sandwich, fried, on wheat bun, with cheese"
27550420.0,"Fish sandwich, grilled"
27550425.0,Fish wrap sandwich
27550510.0,Sardine sandwich
27550720.0,Tuna salad sandwich on white
27550730.0,"Tuna salad sandwich on white, with cheese"
27550735.0,Tuna salad sandwich on wheat
27550737.0,"Tuna salad sandwich on wheat, with cheese"
27550755.0,Tuna salad sandwich wrap
27550800.0,Seafood salad sandwich
27560130.0,Bologna sandwich on white
27560140.0,"Bologna sandwich on white, with cheese"
27560150.0,Bologna sandwich on wheat
27560160.0,"Bologna sandwich on wheat, with cheese"
27560300.0,Corn dog
27560350.0,Pig in a blanket
27560520.0,Salami sandwich on white
27560530.0,"Salami sandwich on white, with cheese"
27560540.0,Salami sandwich on wheat
27560550.0,"Salami sandwich on wheat, with cheese"
27560610.0,Italian sandwich on white
27560620.0,Italian sandwich on wheat
27560630.0,"Italian sandwich or sub, restaurant"
27560710.0,Italian sausage sandwich on white
27560715.0,Italian sausage sandwich on wheat
27560920.0,Spam sandwich
27564000.0,"Hot dog sandwich, NFS, on white bun"
27564001.0,"Hot dog sandwich, NFS, on wheat bun"
27564010.0,"Hot dog sandwich, NFS, on white bread"
27564020.0,"Hot dog sandwich, NFS, on wheat bread"
27564060.0,"Hot dog sandwich, beef, on white bun"
27564061.0,"Hot dog sandwich, beef, on wheat bun"
27564070.0,"Hot dog sandwich, beef, on white bread"
27564080.0,"Hot dog sandwich, beef, on wheat bread"
27564180.0,"Hot dog sandwich, meat and poultry, on white bun"
27564181.0,"Hot dog sandwich, meat and poultry, on wheat bun"
27564190.0,"Hot dog sandwich, meat and poultry, on white bread"
27564200.0,"Hot dog sandwich, meat and poultry, on wheat bread"
27564240.0,"Hot dog sandwich, turkey, on white bun"
27564241.0,"Hot dog sandwich, turkey, on wheat bun"
27564250.0,"Hot dog sandwich, turkey, on white bread"
27564260.0,"Hot dog sandwich, turkey, on wheat bread"
27564300.0,"Hot dog sandwich, reduced fat, on white bun"
27564301.0,"Hot dog sandwich, reduced fat, on wheat bun"
27564310.0,"Hot dog sandwich, reduced fat, on white bread"
27564320.0,"Hot dog sandwich, reduced fat, on wheat bread"
27564420.0,"Hot dog sandwich, vegetarian, on bun"
27564430.0,"Hot dog sandwich, vegetarian, on bread"
27564440.0,"Chili hot dog sandwich, on white bun"
